Informe Completo;;;;;;;;;;;;;;;
Tipo : Acciones;;;;;;;;;;;;;;;
Pais: EEUU;;;;;;;;;;;;;;;
Fecha de creación : 28/1/2022;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Nombre;Ref.;Ingresos Totales;;;;;;;;Rentabilidad sobre fondos propios TTM;;Precio/Venta TTM;;Recomendación;URL
;;fecha;monto;fecha;monto;fecha;monto;fecha;monto;Empresa;Industria;Empresa;Industria;;
Inpex Corp ADR;IPXHY;2021- 30/09;350817;2021- 30/06;254700;2021- 31/03;243697;2020- 31/12;178248;3.47;5.25;1.6;0.56;Vender;https://es.investing.com/equities/inpex-corp
Leidos Holdings Inc;LDOS;2021- 01/10;3483;2021- 02/07;3448;2021- 02/04;3315;2021- 01/01;3252;8.32;7.43;0.92;7.46;Comprar;https://es.investing.com/equities/leidos-holdings
Ono Pharmaceutical Co Ltd;OPHLY;2021- 30/09;86714;2021- 30/06;87363;2021- 31/03;74351;2020- 31/12;84459;12.55;10.17;4.36;4.27;-;https://es.investing.com/equities/ono-pharmaceutical-co-ltd
Bunge Limited;BG;2021- 30/09;14117;2021- 30/06;15391;2021- 31/03;12961;2020- 31/12;12610;19.94;-6.91;0.25;3.04;-;https://es.investing.com/equities/bunge
Steel Dynamics Inc;STLD;2021- 30/09;5088.29;2021- 30/06;4465.31;2021- 31/03;3544.6;2020- 31/12;2601.24;35.5;9.85;0.59;3.71;Comprar;https://es.investing.com/equities/steel-dynamics
Alstom PK;ALSMY;2021- 30/09;7443;2021- 31/03;5267;2020- 30/09;3518;2020- 31/03;4061;-0.4;-0.19;0.93;2.61;-;https://es.investing.com/equities/alstom-pk
Eneos Holdings Inc ADR;JXHLY;2021- 30/09;2507335;2021- 30/06;2224073;2021- 31/03;2290853;2020- 31/12;2004837;5.78;5.25;0.16;0.56;-;https://es.investing.com/equities/jxtg-adr
CubeSmart;CUBE;2021- 30/09;212.56;2021- 30/06;199.25;2021- 31/03;188.84;2020- 31/12;178.79;5.71;3.89;13.8;13.15;-;https://es.investing.com/equities/cubesmart
Regency Centers Corporation;REG;2021- 30/09;307.38;2021- 30/06;287.16;2021- 31/03;274.7;2020- 31/12;258.46;3.27;3.86;10.59;12.69;-;https://es.investing.com/equities/regency-centers-corp
Federal Home 5.30%;FREJP;2021- 30/09;16095;2021- 30/06;16411;2021- 31/03;13601;2020- 31/12;15001;0.46;0.51;0.01;0.01;-;https://es.investing.com/equities/federal-home-5.30
Entain DRC PLC;GMVHY;2021- 30/06;1767;2020- 31/12;3561.6;2020- 30/06;1575.1;2019- 31/12;3578.1;3.13;-4.51;2.42;10.7;-;https://es.investing.com/equities/entain-drc-otc
Koninklijke KPN NV ADR;KKPNY;2021- 30/06;1289;2021- 31/03;1298;2020- 31/12;2670;2020- 30/06;1293;6.54;undefined;3.78;undefined;-;https://es.investing.com/equities/royal-kpn-nv
Federal Home Loan Mortgage Corp CJ Pref;FMCCJ;2021- 30/09;16095;2021- 30/06;16411;2021- 31/03;13601;2020- 31/12;15001;0.46;0.51;0.01;0.01;-;https://es.investing.com/equities/federal-home-loan-mortgage-cj-pref
Federal Home Loan Mortgage Corp Pref Var;FMCCI;2021- 30/09;16095;2021- 30/06;16411;2021- 31/03;13601;2020- 31/12;15001;0.46;0.51;0.01;0.01;-;https://es.investing.com/equities/freddie-mac-var-pr-b
Jack Henry & Associates Inc;JKHY;2021- 30/09;488.06;2021- 30/06;450.29;2021- 31/03;433.78;2020- 31/12;422.36;17.06;16.17;6.49;24.25;Comprar;https://es.investing.com/equities/jack-henry---asso
Avis Budget Group Inc;CAR;2021- 30/09;3001;2021- 30/06;2371;2021- 31/03;1372;2020- 31/12;1355;4.45;5.45;1.15;6.5;-;https://es.investing.com/equities/avis-budget
Shanghai Electric Group Co Ltd ADR;SIELY;2021- 30/09;31000.87;2021- 30/06;36964.96;2021- 31/03;25562.75;2020- 31/12;54752.77;-2.04;4.42;0.4;3.21;-;https://es.investing.com/equities/shanghai-electric-group-co-ltd
Wolfspeed Inc;WOLF;2021- 26/09;156.6;2021- 27/06;145.8;2021- 28/03;137.3;2020- 27/12;127;-13.5;23.26;16.97;14.6;-;https://es.investing.com/equities/cree-inc.
Coca Cola HBC AG ADR;CCHGY;2012- 31/12;1576.3;2012- 28/09;2036.3;2012- 29/06;1995.6;2012- 30/03;1436.5;9.63;11.39;1.64;6.9;-;https://es.investing.com/equities/coca-cola-hellenic-bottling-co
Thai Beverage PCL ADR;TBVPY;2021- 30/09;240543.32;2021- 31/03;59463.27;2020- 31/12;71789.19;2020- 30/09;253480.71;8.49;8.47;1.67;1.68;-;https://es.investing.com/equities/thai-beverage-adr
Lincoln National Corporation;LNC;2021- 30/09;5241;2021- 30/06;4851;2021- 31/03;4534;2020- 31/12;4136;8.99;undefined;0.66;1.75;-;https://es.investing.com/equities/lincoln-natl
Sodexo PK;SDXAY;2021- 31/08;8833;2021- 28/02;8595;2020- 31/08;7629;2020- 29/02;11692;1.38;-4.99;0.71;9.67;-;https://es.investing.com/equities/sodexo-pk
Hong Kong Land Holdings Ltd ADR;HNGKY;2021- 30/06;885.8;2020- 31/12;1274;2020- 30/06;820.2;2019- 31/12;1515.8;-4.06;-0.55;5.87;4.46;-;https://es.investing.com/equities/hongkong-land-adr
On Holding Ltd;ONON;2021- 30/09;218.04;2021- 30/06;315.45;2020- 31/12;254.38;2020- 30/06;170.92;14.16;undefined;5.61;undefined;-;https://es.investing.com/equities/on-holding
Federal Home Loan Mortgage Corp CL Pref;FMCCL;2021- 30/09;16095;2021- 30/06;16411;2021- 31/03;13601;2020- 31/12;15001;0.46;0.51;0.01;0.01;-;https://es.investing.com/equities/federal-home-loan-mortgage-cl-pref
Admiral Group PLC ADR;AMIGY;2021- 30/06;791.3;2020- 31/12;615.6;2020- 30/06;612;2019- 31/12;561.7;-0.62;undefined;6.82;1.1;Vender;https://es.investing.com/equities/admiral-group-plc
Tenaris SA ADR;TS;2021- 30/09;1753.74;2021- 30/06;1528.51;2021- 31/03;1181.79;2020- 31/12;1130.63;6.58;-0.27;2.63;1.79;-;https://es.investing.com/equities/tenaris-sa
CNA Financial Corporation;CNA;2021- 30/09;2959;2021- 30/06;3029;2021- 31/03;2866;2020- 31/12;2931;8.99;undefined;1.04;1.75;-;https://es.investing.com/equities/cna-financial-corp
Williams-Sonoma Inc;WSM;2021- 31/10;2047.54;2021- 01/08;1948.34;2021- 02/05;1749.03;2021- 31/01;2292.67;36.63;24.74;1.33;3.74;-;https://es.investing.com/equities/williams-sonoma-inc
Remy Cointreau SA ADR;REMYY;2021- 30/09;645.3;2021- 31/03;579.4;2020- 30/09;430.8;2020- 31/03;500.9;10.67;5.78;7.92;6.6;-;https://es.investing.com/equities/remy-cointreau-adr
Tata Motors Limited ADR;TTM;2014- 31/12;699732.6;2014- 30/09;605642;2014- 30/06;646828.3;2014- 31/03;653171.4;5.71;undefined;0.68;3111.23;-;https://es.investing.com/equities/tata-motors
Rexford Inl Rty;REXR;2021- 30/09;115.4;2021- 30/06;104.36;2021- 31/03;99.76;2020- 31/12;88.65;2.38;3.89;25.64;13.15;Vender;https://es.investing.com/equities/rexford-inl-rty
Pentair PLC;PNR;2021- 30/09;969.2;2021- 30/06;941.1;2021- 31/03;865.9;2020- 31/12;796;15.05;11.37;2.84;6.39;Comprar;https://es.investing.com/equities/pentair
QBE Insurance Group Ltd ADR;QBIEY;2021- 30/06;7783;2020- 31/12;8853;2020- 30/06;6894;2019- 31/12;7389;9.33;undefined;0.69;1.62;-;https://es.investing.com/equities/qbe-insurance-group-ltd
Gfl Environmental Holdings Inc;GFL;2021- 30/09;1485.1;2021- 30/06;1314.3;2021- 31/03;1186.6;2020- 31/12;1235.6;-6.1;2.41;2.49;9.36;-;https://es.investing.com/equities/gfl-environmental-holdings-inc
Marathon Oil Corporation;MRO;2021- 30/09;1446;2021- 30/06;1142;2021- 31/03;1071;2020- 31/12;829;-0.25;4.92;3.44;9.18;-;https://es.investing.com/equities/marathon-oil
Paylocity Holdng;PCTY;2021- 30/09;181.7;2021- 30/06;167.45;2021- 31/03;186.05;2020- 31/12;146.33;16.26;13.48;14.77;30.35;-;https://es.investing.com/equities/paylocity-holdng
Mowi ASA ADR;MHGVY;2021- 30/09;1033.5;2021- 30/06;996.9;2021- 31/03;1023.1;2020- 31/12;1007.6;8.54;8.63;2.71;19.14;-;https://es.investing.com/equities/marine-hrvs
Bruker Corporation;BRKR;2021- 30/09;608.9;2021- 30/06;570.8;2021- 31/03;554.7;2020- 31/12;627.5;12.6;11.31;4.05;9.14;-;https://es.investing.com/equities/bruker
Zendesk Inc;ZEN;2021- 30/09;346.97;2021- 30/06;318.22;2021- 31/03;298.05;2020- 31/12;283.5;-15.69;13.95;8.83;29.76;-;https://es.investing.com/equities/zendesk-inc
Molson Coors Brewing Comp A;TAPa;2021- 30/09;2822.7;2021- 30/06;2939.4;2021- 31/03;1898.4;2020- 31/12;2294.3;-1.88;10.52;1.05;4.76;-;https://es.investing.com/equities/molson-coors-brewing-comp-a
Federal Home Loan Mortgage Corp Pref Variable Non Cumulative;FMCCN;2021- 30/09;16095;2021- 30/06;16411;2021- 31/03;13601;2020- 31/12;15001;0.46;0.51;0.01;0.01;-;https://es.investing.com/equities/freddie-mac-var-n
Federal Home Loan Mortgage Corp Pref Floating;FMCCG;2021- 30/09;16095;2021- 30/06;16411;2021- 31/03;13601;2020- 31/12;15001;0.46;0.51;0.01;0.01;-;https://es.investing.com/equities/freddie-mac-var-pfd
Federal Home Loan Mortgage Corp Pref 4.77;FMCCM;2021- 30/09;16095;2021- 30/06;16411;2021- 31/03;13601;2020- 31/12;15001;0.46;0.51;0.01;0.01;-;https://es.investing.com/equities/freddie-mac-noncum
Lennox International Inc;LII;2021- 30/09;1059.9;2021- 30/06;1239;2021- 31/03;930.5;2020- 31/12;914;42.97;13.39;2.41;3.48;-;https://es.investing.com/equities/lennox-international
Makita Corp;MKTAY;2021- 30/09;178933;2021- 30/06;185297;2021- 31/03;167147;2020- 31/12;158028;11.05;11.37;1.7;6.39;-;https://es.investing.com/equities/makita-corp
Life Storage Inc;LSI;2021- 30/09;208.26;2021- 30/06;187.26;2021- 31/03;171.89;2020- 31/12;166.5;4.38;3.86;14.54;12.69;-;https://es.investing.com/equities/sovran-self-storage-inc
Swedish Match Ab Ord;SWMAY;2021- 30/09;4778;2021- 30/06;4505;2021- 31/03;4455;2020- 31/12;4137;59.66;59.66;6.14;6.32;-;https://es.investing.com/equities/swedish-match-ab-ord
Randstad Holdings NV;RANJY;2021- 30/09;6275;2021- 30/06;6078;2021- 31/03;5528;2020- 31/12;5693;13.86;12.62;0.45;3.74;-;https://es.investing.com/equities/randstad-holdings-nv
Intertek Group Plc;IKTSY;2021- 30/06;1317.6;2020- 31/12;1411.1;2020- 30/06;1330.6;2019- 31/12;1544.4;15.11;12.47;3.15;6.01;-;https://es.investing.com/equities/intertek-group-plc
Gjensidige Forsikring Asa ADR;GJNSY;2021- 31/12;9148.2;2021- 30/09;7821.4;2021- 30/06;8068.5;2021- 31/03;7648.7;undefined;undefined;3.31;2.55;-;https://es.investing.com/equities/gjensidige-forsikring-adr
WestRock Co;WRK;2021- 30/09;5090.5;2021- 30/06;4816.3;2021- 31/03;4437.8;2020- 31/12;4401.5;3.28;7.05;0.62;1.53;-;https://es.investing.com/equities/westrock-co
Grupo Bimbo SAB de CV ADR;BMBOY;2021- 30/09;88182.07;2021- 30/06;163056.25;2021- 31/03;79161.29;2020- 31/12;84777.77;6.1;6.96;0.81;0.8;-;https://es.investing.com/equities/bimbo-adr
Dentsply Sirona Inc;XRAY;2021- 30/09;1069;2021- 30/06;1067;2021- 31/03;1027;2020- 31/12;1082.3;5.26;10.18;2.72;124.85;-;https://es.investing.com/equities/dentsply-intl-inc-new
Allegion PLC;ALLE;2021- 30/09;717;2021- 30/06;746.9;2021- 31/03;694.3;2020- 31/12;727.3;19.11;13.33;3.75;3.29;-;https://es.investing.com/equities/allegion-public
American Financial Group Inc;AFG;2021- 30/09;1754;2021- 30/06;1527;2021- 31/03;1508;2020- 31/12;2562;8.96;undefined;1.45;1.79;-;https://es.investing.com/equities/american-financial-group
Westlake Chemical Corporation;WLK;2021- 30/09;3055;2021- 30/06;2859;2021- 31/03;2357;2020- 31/12;1965;11.53;6.82;1.24;3.65;Comprar;https://es.investing.com/equities/westlake-chemical
Robert Half International Inc;RHI;2021- 30/09;1712.57;2021- 30/06;1580.58;2021- 31/03;1398.38;2020- 31/12;1304.09;7.52;undefined;1.91;7.24;-;https://es.investing.com/equities/robert-half-intl
RH;RH;2021- 30/10;1006.43;2021- 31/07;988.86;2021- 01/05;860.79;2021- 30/01;812.44;22.2;24.74;2.15;3.74;-;https://es.investing.com/equities/rstrtn-hrdwr-hld
Mohawk Industries Inc;MHK;2021- 02/10;2817.02;2021- 03/07;2953.83;2021- 03/04;2669.03;2020- 31/12;2641.76;9.53;13.13;0.92;1.77;-;https://es.investing.com/equities/mohawk-industries
Persimmon Plc;PSMMY;2021- 30/06;1840.8;2020- 31/12;2137.8;2020- 30/06;1190.5;2019- 31/12;1895.4;21.14;12;1.89;1.7;-;https://es.investing.com/equities/persimmon-plc
News Corp B;NWS;2021- 30/09;2502;2021- 30/06;2492;2021- 31/03;2335;2020- 31/12;2414;5.28;5.19;1.28;4.24;-;https://es.investing.com/equities/news-corporation
Korea Electric Power Corp ADR;KEP;2021- 30/09;16462219;2021- 30/06;13518915;2021- 31/03;15075300;2020- 31/12;14692277;-0.56;2.64;0.22;4.17;-;https://es.investing.com/equities/korea-electric-power-corp
Suntory Beverage & Food Ltd;STBFY;2021- 30/09;337986;2021- 30/06;334043;2021- 31/03;269791;2020- 31/12;291938;7.33;5.17;1.11;1.09;-;https://es.investing.com/equities/suntory-beverage---food-ltd
Annaly Capital Management Inc;NLY;2021- 30/09;616.96;2021- 30/06;-176.17;2021- 31/03;1984.63;2020- 31/12;1006.19;13.27;7.57;3.26;4.96;-;https://es.investing.com/equities/annaly-capital-management-inc
Annaly Capital Management Inc Pref;NLY_pf;2021- 30/09;616.96;2021- 30/06;-176.17;2021- 31/03;1984.63;2020- 31/12;1006.19;13.27;7.58;3.26;5.02;-;https://es.investing.com/equities/annaly-capital-management
MGM Growth Properties LLC;MGP;2021- 30/09;194.34;2021- 30/06;194.34;2021- 31/03;194.34;2020- 31/12;194.34;5.34;3.86;7.56;12.69;-;https://es.investing.com/equities/mgm-growth-properties-llc
Godaddy Inc;GDDY;2021- 30/09;964;2021- 30/06;931.3;2021- 31/03;901.1;2020- 31/12;873.9;5.15;16.17;3.17;24.25;-;https://es.investing.com/equities/godaddy-inc
Mondi PLC ADR;MONDY;2021- 30/06;3627;2020- 31/12;3211;2020- 30/06;3452;2019- 31/12;3497;8.86;8.38;1.57;1.68;-;https://es.investing.com/equities/mondi-adr
Snap-On Inc;SNA;2021- 02/10;1125;2021- 03/07;1168.3;2021- 03/04;1113.2;2021- 02/01;1167.8;15.4;11.37;2.4;6.39;-;https://es.investing.com/equities/snapon-inc
Impala Platinum Holdings Ltd PK;IMPUY;2021- 30/06;71454;2020- 31/12;58121;2020- 30/06;41832;2019- 31/12;28019;51.31;45.22;1.5;1.99;-;https://es.investing.com/equities/impala-platinum-holdings-ltd-pk
Lamar Advertising Company;LAMR;2021- 30/09;476.89;2021- 30/06;445.05;2021- 31/03;370.88;2020- 31/12;428.52;7.13;3.89;6.15;13.15;-;https://es.investing.com/equities/lamar-advertising-co
News Corp A;NWSA;2021- 30/09;2502;2021- 30/06;2492;2021- 31/03;2335;2020- 31/12;2414;5.28;5.19;1.28;4.24;-;https://es.investing.com/equities/news-corp.
Solvay SA ADR;SLVYY;2021- 30/09;2864;2021- 30/06;2690;2021- 31/03;2604;2020- 31/12;2418;4.65;6.53;1.09;1.3;-;https://es.investing.com/equities/solvay-adr
Targa Resources Inc;TRGP;2021- 30/09;4459.7;2021- 30/06;3415.9;2021- 31/03;3632.7;2020- 31/12;2572.8;7.72;4.92;0.94;9.18;-;https://es.investing.com/equities/targa-resources-inc
Red Electrica Corporacion SA ADR;RDEIY;2021- 30/06;492.25;2021- 31/03;483.6;2020- 31/12;519.9;2020- 30/09;487.96;5.74;4.63;4.92;1.83;Vender;https://es.investing.com/equities/red-electrica-corporacion-sa
Avalara Inc;AVLR;2021- 30/09;181.17;2021- 30/06;169.07;2021- 31/03;153.6;2020- 31/12;144.76;-6.27;13.48;12.93;30.35;-;https://es.investing.com/equities/avalara-inc
Upstart Holdings Inc;UPST;2021- 30/09;210.42;2021- 30/06;187.3;2021- 31/03;116.17;2020- 31/12;84.42;9.58;9.15;12.35;3.65;Vender;https://es.investing.com/equities/upstart-holdings-inc
Yanzhou Coal Mining Company Limited;YZCAY;2019- 31/12;34567.22;2019- 30/06;33237.43;2018- 31/12;35227.01;2018- 30/06;32220.1;9.41;5.2;1.48;10.12;-;https://es.investing.com/equities/yanzhou-coal-mining-co-ltd
CyrusOne Inc;CONE;2021- 30/09;304.1;2021- 30/06;284.6;2021- 31/03;298.6;2020- 31/12;268.4;0.8;3.89;10.02;13.15;-;https://es.investing.com/equities/cyrusone-inc
Nitto Denko Corp;NDEKY;2021- 31/12;220320;2021- 30/09;222235;2021- 30/06;203715;2021- 31/03;195111;11.69;8.47;1.56;2.21;-;https://es.investing.com/equities/nitto-denko-corp
Lundin Energy AB ADR;LNEGY;2021- 30/09;1478.2;2021- 30/06;1272.8;2021- 31/03;1111.9;2020- 31/12;779.7;13.73;57.43;2.49;310.19;-;https://es.investing.com/equities/lundin-petroleum-adr
Japan Exchange Group Inc ADR;JPXGY;2021- 31/12;35121;2021- 30/09;33046;2021- 30/06;32528;2021- 31/03;36123;15.69;7.38;8.87;4.41;Vender;https://es.investing.com/equities/japan-exchange-adr
Coupa Software Inc;COUP;2021- 31/10;185.82;2021- 31/07;179.25;2021- 30/04;166.93;2021- 31/01;163.54;-20.08;13.48;12.89;30.35;-;https://es.investing.com/equities/coupa-software-inc
Hubbell Inc;HUBB;2021- 30/09;1213.6;2021- 30/06;1191.8;2021- 31/03;1078.4;2020- 31/12;1037.9;8.92;6.87;2.2;7.58;Comprar;https://es.investing.com/equities/hubbell-inc-b
Tapestry Inc;TPR;2021- 02/10;1480.9;2021- 03/07;1615.4;2021- 27/03;1273.3;2020- 26/12;1685.4;13.03;16.53;1.68;5.64;-;https://es.investing.com/equities/coach
Minebea Mitsumi Inc ADR;MNBEY;2021- 30/09;281955;2021- 30/06;248305;2021- 31/03;250985;2020- 31/12;275709;9.49;8.24;1.08;3.05;-;https://es.investing.com/equities/minebea-mitsumi-adr
Ciena Corp;CIEN;2021- 30/10;1041.49;2021- 31/07;988.14;2021- 01/05;833.93;2021- 30/01;757.13;13.56;16.57;2.72;5.32;-;https://es.investing.com/equities/ciena
Service Corporation International;SCI;2021- 30/09;1034.37;2021- 30/06;987.53;2021- 31/03;1077.98;2020- 31/12;970.27;5.74;-0.86;2.39;4.64;-;https://es.investing.com/equities/service-corporation-international
Demant A/S ADR;WILYY;2021- 30/06;9012;2020- 31/12;8391;2020- 30/06;6078;2019- 31/12;7596;16.49;35.73;3.99;8.19;-;https://es.investing.com/equities/william-demant-adr
McAfee Corp;MCFE;2021- 25/09;491;2021- 26/06;909;2021- 27/03;442;2020- 26/12;777;13.95;undefined;5.18;29.76;-;https://es.investing.com/equities/mcafee-corp
Gaming & Leisure Properties;GLPI;2021- 30/09;298.71;2021- 30/06;317.76;2021- 31/03;301.54;2020- 31/12;300.16;6.72;3.86;8.37;12.69;-;https://es.investing.com/equities/gaming---leisure-properties
IAC/InterActiveCorp;IAC;2021- 30/09;924.07;2021- 30/06;1616.12;2021- 31/03;786.57;2020- 31/12;848.82;14.33;24.8;3.3;8.61;-;https://es.investing.com/equities/iac-interactivecorp
Regal Beloit Corporation;RRX;2021- 02/10;892.7;2021- 03/07;886.9;2021- 03/04;814.1;2021- 02/01;780.5;7.42;6.87;3.12;7.58;Comprar;https://es.investing.com/equities/regal-beloit-corp
Fair Isaac Corporation;FICO;2021- 31/12;322.36;2021- 30/09;334.58;2021- 30/06;338.18;2021- 31/03;331.36;33.56;13.95;8.64;29.76;-;https://es.investing.com/equities/fair-isaac-and-comp-inc
Host Hotels & Resorts Inc;HST;2021- 30/09;844;2021- 30/06;649;2021- 31/03;399;2020- 31/12;267;-3.3;3.89;5.49;13.15;-;https://es.investing.com/equities/host-hotels---res
Sage Group PLC ADR;SGPYY;2021- 30/09;909;2021- 31/03;937;2020- 30/09;928;2020- 31/03;975;12.3;2.51;3.86;6.9;-;https://es.investing.com/equities/sage-group-plc
Gitlab Inc;GTLB;2021- 31/10;66.8;2021- 31/07;58.13;2021- 30/04;49.93;2021- 31/01;46.15;13.95;undefined;39.57;29.76;-;https://es.investing.com/equities/gitlab
Chandra Asri Petrochemical Tbk PT ADR;PTCAY;2021- 30/09;619.33;2021- 30/06;663.46;2021- 31/03;598.41;2020- 31/12;538.42;7.26;7.59;5.33;3.49;Vender;https://es.investing.com/equities/chandra-asri-adr
Getinge Industrier AB;GNGBY;2021- 30/09;6306;2021- 30/06;6587;2021- 31/03;6169;2020- 31/12;8839;8.75;4.66;3.05;56.2;-;https://es.investing.com/equities/getinge-industrier-ab
Watsco Inc;WSO;2021- 30/09;1782.57;2021- 30/06;2985.76;2021- 31/03;1136.12;2020- 31/12;1154.72;25.29;11.96;1.78;2.32;-;https://es.investing.com/equities/watsco-inc
Edenred Malakoff ADR;EDNMY;2021- 30/06;757;2020- 31/12;769;2020- 30/06;696;2019- 31/12;849;14.26;7.19;6.12;2.52;Vender;https://es.investing.com/equities/edenred-malakoff-adr
Watsco B Inc;WSOb;2021- 30/09;1782.57;2021- 30/06;2985.76;2021- 31/03;1136.12;2020- 31/12;1154.72;25.29;11.84;1.78;2.51;-;https://es.investing.com/equities/watsco-b-inc
China Gas Holdings Ltd ADR;CGHLY;2021- 30/09;38947.38;2021- 31/03;42810.39;2020- 30/09;27164.99;2020- 31/03;31614.18;12.15;12.12;0.88;2.28;-;https://es.investing.com/equities/china-gas-adr
Booz Allen Hamilton Holding;BAH;2021- 30/09;2106.04;2021- 30/06;1989.07;2021- 31/03;1979.28;2020- 31/12;1904.02;13.94;7.43;1.38;7.46;Comprar;https://es.investing.com/equities/booz-allen-hamilton-holding-corp
Unilever Indonesia Tbk PT ADR;UNLRY;2021- 30/09;9852760;2021- 30/06;9894249;2021- 31/03;10282521;2020- 31/12;10515801;73.4;71.03;3.81;3.75;-;https://es.investing.com/equities/unilever-indonesia-adr
Farfetch Ltd Class A;FTCH;2021- 30/09;582.57;2021- 30/06;523.31;2021- 31/03;485.08;2020- 31/12;540.11;-37.69;10.7;3.33;5.99;-;https://es.investing.com/equities/farfetch-a
Full Truck Alliance Co Ltd ADR;YMM;2021- 30/09;1241.67;2021- 30/06;1118.82;2021- 31/03;867.15;2020- 31/12;850.35;-21.93;6.1;12.61;6.33;Vender;https://es.investing.com/equities/full-truck-alliance-co-adr
GameStop Corp;GME;2021- 30/10;1296.6;2021- 31/07;1183.4;2021- 01/05;1276.8;2021- 30/01;2122.1;-9.44;24.75;1.21;3.77;-;https://es.investing.com/equities/gamestop-corp
DraftKings Inc;DKNG;2021- 30/09;212.82;2021- 30/06;297.61;2021- 31/03;312.28;2020- 31/12;322.22;-54.44;-4.34;13.54;9.8;-;https://es.investing.com/equities/diamond-eagle-acquisition-corp
AGC Inc ADR;ASGLY;2021- 30/09;422172;2021- 30/06;417767;2021- 31/03;393565;2020- 31/12;399535;9.36;8.71;0.72;1.73;-;https://es.investing.com/equities/asahi-glass-co-ltd
Globant SA;GLOB;2021- 30/09;341.83;2021- 30/06;305.26;2021- 31/03;270.17;2020- 31/12;232.64;7.13;16.17;8.19;24.25;-;https://es.investing.com/equities/globant-sa
Bangkok Dusit Medical Services PCL ADR;BDUUY;2021- 30/09;19664.42;2021- 30/06;17163.18;2021- 31/03;16027.42;2020- 31/12;17828.25;7.43;13.55;5.06;5.21;-;https://es.investing.com/equities/bangkok-dusit-medical-adr
Juniper Networks Inc;JNPR;2021- 31/12;1299.9;2021- 30/09;1188.8;2021- 30/06;1172.3;2021- 31/03;1074.4;3.55;16.57;2.16;5.32;-;https://es.investing.com/equities/juniper-networks-inc
Sumitomo Metal Mining Co Ltd ADR;SMMYY;2021- 30/09;303605;2021- 30/06;294325;2021- 31/03;253990;2020- 31/12;253009;13.74;8.03;1.39;0.65;Vender;https://es.investing.com/equities/sumitomo-metal-mining-co-ltd
Huazhu Group Ltd;HTHT;2021- 30/09;3523;2021- 30/06;3587;2021- 31/03;2327;2020- 31/12;3072;1.38;-4.34;6.31;9.8;-;https://es.investing.com/equities/china-lodging-gro
Brambles Ltd ADR;BXBLY;2021- 30/06;2644.3;2020- 31/12;2565.5;2020- 30/06;2320.3;2019- 31/12;2397.6;9.66;1.87;1.91;17.31;-;https://es.investing.com/equities/brambles-ltd
SK Telecom Co Ltd ADR;SKM;2021- 30/09;4967496;2021- 30/06;4818272;2021- 31/03;4780461;2020- 31/12;4840600;6.11;6.3;0.63;1.65;-;https://es.investing.com/equities/sk-telecom
DaVita HealthCare Partners Inc;DVA;2021- 30/09;2938.32;2021- 30/06;2916.51;2021- 31/03;2820;2020- 31/12;2905.32;9.1;4.07;0.96;1.67;-;https://es.investing.com/equities/davita-inc
Aisin Seiki Co Ltd;ASEKY;2021- 30/09;887194;2021- 30/06;977526;2021- 31/03;1021310;2020- 31/12;1048498;7.87;7.3;0.31;0.93;-;https://es.investing.com/equities/aisin-seiki-co-ltd
American Airlines Group;AAL;2021- 31/12;9427;2021- 30/09;8969;2021- 30/06;7478;2021- 31/03;4008;-4.29;-8.16;0.34;1.93;Comprar;https://es.investing.com/equities/american-airlines-group
UWM Holdings Corp;UWMC;2021- 30/09;860.78;2021- 30/06;703.76;2021- 31/03;1249.13;2020- 31/12;1818.29;27.62;73.6;1.73;3.66;-;https://es.investing.com/equities/gores-holdings-iv
InterContinental Hotels Group PLC ADR;IHG;2021- 30/06;1179;2020- 31/12;1146;2020- 30/06;1248;2019- 31/12;2347;-0.07;-4.34;5.06;9.8;-;https://es.investing.com/equities/intercontinental-hotels-group-plc
West Japan Railway Co ADR;WJRYY;2021- 30/09;234866;2021- 30/06;201968;2021- 31/03;253128;2020- 31/12;255073;-5.77;-1.3;1.25;1.67;-;https://es.investing.com/equities/west-japan-railway-co
Tencent Music Entertainment Group;TME;2021- 30/09;7805;2021- 30/06;8008;2021- 31/03;7824;2020- 31/12;8335;6.93;-0.63;1.86;18.4;-;https://es.investing.com/equities/tencent-music-entertainment-group
Everest Re Group Ltd;RE;2021- 30/09;2925.42;2021- 30/06;5820.46;2021- 31/03;2743.77;2020- 31/12;2761.4;8.99;undefined;0.95;1.75;-;https://es.investing.com/equities/everest-re-group-ltd
Mitsubishi Chemical Holdings Corp ADR;MTLHY;2021- 30/09;956831;2021- 30/06;928264;2021- 31/03;902094;2020- 31/12;850625;4.8;8.46;0.37;2.29;-;https://es.investing.com/equities/mitsubishi-chemical-adr
BorgWarner Inc;BWA;2021- 30/09;3416;2021- 30/06;3758;2021- 31/03;4009;2020- 31/12;3926;8.28;-0.14;0.69;8.04;-;https://es.investing.com/equities/borgwarner
Singapore Airlines Ltd;SINGY;2021- 30/09;2826.9;2021- 31/03;2181.5;2020- 30/09;1634.4;2020- 31/03;3180.8;-4.87;-4.87;2.95;2.95;-;https://es.investing.com/equities/singapore-airlines-ltd
Lear Corporation;LEA;2021- 02/10;4268.2;2021- 03/07;4760.7;2021- 03/04;5354.4;2020- 31/12;5243.2;7.89;-1.76;0.51;9.33;-;https://es.investing.com/equities/lear
